ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.066121385,0.06946225,0.005621241,0.028873729,0.2870128,0.027714828,0.008131313,0.6191498,0.008804819,0.07730957,0.009931049,0.05612267,0.019204583,0.017552158,0.02489245,0.08324245,0.00071359845,0.8193165,0.022249807,0.009184659,0.0038781255,0.18131518,0.03564932,0.010999873
4,0.06888924,0.03351337,0.0053928713,0.28700846,0.18708496,0.5788104,0.020993005,0.82897174,0.00904852,0.02188194,0.017586915,0.051855687,0.04511766,0.016366223,0.017265344,0.02150031,0.0008019728,0.05139226,0.017192896,0.006439771,0.0080844825,0.1866607,0.016461866,0.114501074
5,0.14293109,0.017285185,0.002070346,0.05871985,0.078246206,0.6530342,0.029050749,0.7362963,0.00553837,0.032233212,0.064060755,0.030593298,0.06039679,0.0136453165,0.0028029308,0.2503631,0.00066417566,0.055029284,0.008234875,0.0024683317,0.023457091,0.67589825,0.006926315,0.010899536
6,0.19368836,0.08390506,0.0041913395,0.060247075,0.11848083,0.06641408,0.008243743,0.7213564,0.010182165,0.01839017,0.056133594,0.06441251,0.048604727,0.0050486494,0.007596352,0.09871015,0.0006989414,0.13341627,0.13417158,0.0055747046,0.008238377,0.21148948,0.19128832,0.004323407
7,0.06788072,0.027994698,0.012726236,0.011666314,0.22435728,0.13306862,0.0065862387,0.10855124,0.021483865,0.20008592,0.039523065,0.004332991,0.95427555,0.008481369,0.011097768,0.6361646,0.00064284325,0.08555398,0.4191335,0.0074592135,0.0016376527,0.6811253,0.001826494,0.001151739
9,0.23957518,0.34217876,0.08230648,0.12629847,0.19886321,0.24884893,0.03488853,0.4539718,0.07879293,0.35977995,0.012164812,0.38547507,0.047496837,0.007859197,0.037655175,0.03356629,0.0007872754,0.055909596,0.018456956,0.020469941,0.01542023,0.19519928,0.059415378,0.09584875
11,0.06549109,0.024055323,0.056886356,0.108910985,0.51863664,0.09630618,0.3139601,0.4650054,0.044313785,0.009698598,0.001576029,0.042901687,0.0067865625,0.5206213,0.08154875,0.0023106467,0.0010784294,0.12198141,0.012947801,0.02648335,0.15439744,0.017204132,0.005983259,0.015439151
13,0.17174226,0.051717177,0.009243252,0.015146966,0.7028825,0.5302037,0.0012864469,0.5490741,0.05297292,0.011570425,0.048693854,0.01370722,0.0044980575,0.008511404,0.023345849,0.016650606,0.00061941554,0.21108335,0.0056408653,0.009241208,0.011421494,0.3227454,0.011240723,0.042265933
16,0.026434563,0.07365439,0.009552449,0.06765226,0.28832588,0.02899691,0.009089611,0.79588515,0.023396779,0.03446344,0.039465435,0.035613477,0.032788407,0.012755242,0.06839974,0.09978198,0.00049759704,0.79056615,0.009579714,0.0052149626,0.012500555,0.044506155,0.050907806,0.0043954067
21,0.05531977,0.031906456,0.009518016,0.01052338,0.7861249,0.04506492,0.0092441775,0.66389024,0.019458162,0.025819743,0.0072775213,0.012497953,0.013212553,0.023148801,0.02552803,0.014005549,0.0006536987,0.6406135,0.013585863,0.0040737074,0.010475474,0.053855684,0.017999902,0.0104159005
