ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.13582136,0.05994424,6.132886e-05,0.3340023,0.18106374,4.210571e-13,0.019863704,1.0,0.0046493006,0.046305083,0.7391916,2.1457223e-05,0.07631681,0.00012349144,0.0010585983,0.0049434197,0.00016375893,1.0,0.0019824235,0.0007234348,2.422184e-06,1.0954658e-05,2.2864113e-13,0.03144261
4,0.09390064,0.05994424,0.012176019,0.9990023,0.4221894,0.84736544,0.1584589,0.3784997,0.2662358,0.046305083,3.8102453e-35,0.008012741,0.07631681,0.015294579,0.006130043,7.3297116e-07,0.0001898146,1.59802e-11,0.011657234,0.7778228,0.004143602,0.6875265,2.5549659e-28,0.001348323
5,0.5995769,0.05994424,2.7446005e-05,4.5406137e-05,2.7765947e-05,1.0,1.9814765e-05,1.0,0.007959859,0.046305083,1.0,3.5671424e-06,0.1270951,6.2078422e-15,9.486712e-06,1.0,0.00074948714,1.0,0.012423,6.2153926e-10,3.4916302e-05,1.0,1.6625274e-15,8.175418e-07
6,0.11815516,0.10609732,2.9715093e-06,0.8621284,0.0019124374,0.9999919,1.8584717e-23,2.2538735e-12,0.08587819,0.046305083,0.999998,4.9101474e-09,0.25576898,3.1996252e-09,0.1043219,1.0,0.00075505866,1.0,0.10617509,2.940232e-13,1.0,1.0,6.5322304e-20,0.00012999598
7,0.5176871,0.6140455,1.4168685e-05,2.2209241e-09,0.011417376,5.9511827e-12,4.9557564e-26,3.8146525e-27,0.41978028,0.68413407,0.998574,2.7883965e-08,0.8631244,1.8094996e-05,0.092223875,1.0,0.0005812177,1.0,1.0,9.2986435e-10,2.7759252e-16,1.0,3.573645e-08,2.6618402e-05
9,0.13582136,0.05994424,0.0064270217,0.21574031,0.18106374,4.181713e-08,0.1584589,0.99995244,0.013874356,0.046305083,1.9148428e-11,0.00035175317,0.07631681,2.9989398e-05,0.00046402414,4.997634e-08,0.00016375893,6.4757544e-22,0.011657234,0.10385899,0.0004116012,7.9706797e-07,3.9021664e-12,0.06757083
11,1.0,1.0,0.98078054,0.16729636,0.15951541,0.00094586506,1.0,1.0,0.975513,0.30965918,3.9671448e-25,0.008954616,0.07631681,0.00062157295,0.013147068,1.442429e-09,0.0075171636,1.0,0.0025632665,4.329677e-07,5.179028e-06,0.08315826,4.4520273e-28,9.548264e-07
13,0.46289632,0.10609732,0.12858741,1.7525259e-11,0.014708463,3.6103485e-18,3.56255e-24,5.195512e-18,0.08937813,0.046305083,1.0,9.687643e-15,0.09646739,5.8597897e-07,0.7544202,1.0,0.00068339525,1.0,0.020424785,2.3021914e-13,3.1057456e-25,1.0,0.99985564,2.6394702e-07
16,0.33664554,0.05994424,0.0001877881,0.0039263167,0.5261966,5.585647e-10,0.0011088443,1.0,0.2662358,0.046305083,6.801857e-20,4.658209e-12,0.07631681,8.939713e-06,0.27398035,5.2586435e-13,0.00016375893,1.0,0.0019824235,3.4885683e-10,3.9565964e-07,1.0,6.0338755e-31,0.008313773
21,0.09390064,0.05994424,0.00028984208,0.087141156,0.44864616,0.053447388,0.019863704,3.6418787e-05,0.37259588,0.046305083,4.1522205e-26,0.00041761724,0.07631681,0.030343775,0.015264354,6.589982e-13,0.00020639747,1.0,0.0019824235,0.76454717,0.017469972,9.238112e-18,6.0338755e-31,0.0025105642
22,0.6657762,0.6140455,0.9689187,0.00031858185,0.0052004424,0.006203053,2.2773513e-23,1.1754527e-19,0.6058759,0.83897054,0.9691892,1.3974219e-15,1.0,1.8723978e-05,0.22724822,4.0265546e-05,0.00029457547,1.0,0.2307694,7.638825e-10,1.0222959e-11,4.885668e-18,1.49066e-16,0.00924054
